Title,Years,RunTime,Genre,Rating,R,Votes,Gross
Oldboy,2003,120,Drama,8.4,R,"504,427",$0.71M
Oldboy,2003,120,Mystery,8.4,R,"504,427",$0.71M
Witness for the Prosecution,1957,116,Mystery,8.4,Approved,"105,828",$8.18M
Witness for the Prosecution,1957,116,Drama,8.4,Approved,"105,828",$8.18M
Witness for the Prosecution,1957,116,Crime,8.4,Approved,"105,828",$8.18M
The Dark Knight Rises,2012,164,Adventure,8.4,PG-13,"1,489,727",$448.14M
The Dark Knight Rises,2012,164,Action,8.4,PG-13,"1,489,727",$448.14M
Once Upon a Time in America,1984,229,Drama,8.4,R,"304,578",$5.32M
Once Upon a Time in America,1984,229,Crime,8.4,R,"304,578",$5.32M
Parasite,2019,132,Thriller,8.6,R,"490,801",$53.37M
Parasite,2019,132,Drama,8.6,R,"490,801",$53.37M
Parasite,2019,132,Comedy,8.6,R,"490,801",$53.37M
Aliens,1986,137,Sci-Fi,8.3,R,"642,765",$85.16M
Aliens,1986,137,Adventure,8.3,R,"642,765",$85.16M
Aliens,1986,137,Action,8.3,R,"642,765",$85.16M
American Beauty,1999,122,Drama,8.3,R,"1,053,783",$130.10M
Coco,I 2017,105,Family,8.4,PG,"358,155",$209.73M
Coco,I 2017,105,Adventure,8.4,PG,"358,155",$209.73M
Coco,I 2017,105,Animation,8.4,PG,"358,155",$209.73M
Your Name.,2016,106,Drama,8.4,PG,"182,510",$5.02M
Your Name.,2016,106,Fantasy,8.4,PG,"182,510",$5.02M
Your Name.,2016,106,Animation,8.4,PG,"182,510",$5.02M
Braveheart,1995,178,History,8.3,R,"945,653",$75.60M
Braveheart,1995,178,Drama,8.3,R,"945,653",$75.60M
Braveheart,1995,178,Biography,8.3,R,"945,653",$75.60M
Das Boot,1981,149,Thriller,8.3,R,"227,864",$11.49M
Das Boot,1981,149,Drama,8.3,R,"227,864",$11.49M
Das Boot,1981,149,Adventure,8.3,R,"227,864",$11.49M
3 Idiots,2009,170,Drama,8.4,PG-13,"335,002",$6.53M
3 Idiots,2009,170,Comedy,8.4,PG-13,"335,002",$6.53M
Taare Zameen Par,2007,165,Family,8.4,PG,"163,516",$1.22M
Taare Zameen Par,2007,165,Drama,8.4,PG,"163,516",$1.22M
Star Wars: Episode VI - Return of the Jedi,1983,131,Fantasy,8.3,PG,"932,856",$309.13M
Star Wars: Episode VI - Return of the Jedi,1983,131,Adventure,8.3,PG,"932,856",$309.13M
Star Wars: Episode VI - Return of the Jedi,1983,131,Action,8.3,PG,"932,856",$309.13M
Toy Story,1995,81,Comedy,8.3,G,"869,585",$191.80M
Toy Story,1995,81,Adventure,8.3,G,"869,585",$191.80M
Toy Story,1995,81,Animation,8.3,G,"869,585",$191.80M
Reservoir Dogs,1992,99,Thriller,8.3,R,"901,713",$2.83M
Reservoir Dogs,1992,99,Drama,8.3,R,"901,713",$2.83M
Reservoir Dogs,1992,99,Crime,8.3,R,"901,713",$2.83M
Amadeus,1984,160,History,8.3,R,"363,037",$51.97M
Amadeus,1984,160,Drama,8.3,R,"363,037",$51.97M
Amadeus,1984,160,Biography,8.3,R,"363,037",$51.97M
Dangal,2016,161,Drama,8.4,Not Rated,"149,867",$12.39M
Dangal,2016,161,Biography,8.4,Not Rated,"149,867",$12.39M
Dangal,2016,161,Action,8.4,Not Rated,"149,867",$12.39M
Good Will Hunting,1997,126,Romance,8.3,R,"843,068",$138.43M
Good Will Hunting,1997,126,Drama,8.3,R,"843,068",$138.43M
Inglourious Basterds,2009,153,War,8.3,R,"1,237,971",$120.54M
Inglourious Basterds,2009,153,Drama,8.3,R,"1,237,971",$120.54M
Inglourious Basterds,2009,153,Adventure,8.3,R,"1,237,971",$120.54M
M,1931,99,Thriller,8.3,Passed,"140,491",$0.03M
M,1931,99,Mystery,8.3,Passed,"140,491",$0.03M
M,1931,99,Crime,8.3,Passed,"140,491",$0.03M
Requiem for a Dream,2000,102,Drama,8.3,R,"752,813",$3.64M
2001: A Space Odyssey,1968,149,Sci-Fi,8.3,G,"591,712",$56.95M
2001: A Space Odyssey,1968,149,Adventure,8.3,G,"591,712",$56.95M
Vertigo,1958,128,Thriller,8.3,PG,"355,997",$3.20M
Vertigo,1958,128,Romance,8.3,PG,"355,997",$3.20M
Vertigo,1958,128,Mystery,8.3,PG,"355,997",$3.20M
Eternal Sunshine of the Spotless Mind,2004,108,Sci-Fi,8.3,R,"895,367",$34.40M
Eternal Sunshine of the Spotless Mind,2004,108,Romance,8.3,R,"895,367",$34.40M
Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,R,"895,367",$34.40M
Citizen Kane,1941,119,Mystery,8.3,PG,"391,812",$1.59M
Citizen Kane,1941,119,Drama,8.3,PG,"391,812",$1.59M
Full Metal Jacket,1987,116,War,8.3,R,"662,321",$46.36M
Full Metal Jacket,1987,116,Drama,8.3,R,"662,321",$46.36M
The Hunt,2012,115,Drama,8.3,R,"272,124",$0.69M
North by Northwest,1959,136,Thriller,8.3,Approved,"293,760",$13.28M
North by Northwest,1959,136,Mystery,8.3,Approved,"293,760",$13.28M
North by Northwest,1959,136,Adventure,8.3,Approved,"293,760",$13.28M
A Clockwork Orange,1971,136,Sci-Fi,8.3,R,"744,452",$6.21M
A Clockwork Orange,1971,136,Drama,8.3,R,"744,452",$6.21M
A Clockwork Orange,1971,136,Crime,8.3,R,"744,452",$6.21M
Snatch,2000,102,Comedy,8.3,R,"770,156",$30.33M
Snatch,2000,102,Crime,8.3,R,"770,156",$30.33M
Amélie,2001,122,Comedy,8.3,R,"693,492",$33.23M
Amélie,2001,122,Romance,8.3,R,"693,492",$33.23M
The Kid,1921,68,Family,8.3,Passed,"110,265",$5.45M
The Kid,1921,68,Drama,8.3,Passed,"110,265",$5.45M
The Kid,1921,68,Comedy,8.3,Passed,"110,265",$5.45M
